Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
Chile-2020,1790551.2,7884978.910000005
Chile-2021,2034678.5,8291582.820000001
Chile-2022,245210.9,8636343.109999996
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
"China, Taiwan Province of-2020",887880.4,1540111.9600000002
"China, Taiwan Province of-2021",864425.8,1810022.0800000012
"China, Taiwan Province of-2022",20961.71,1565631.7100000004
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Colombia-2020,2281628.2,2774817.5300000007
Colombia-2021,2269869.5,3071193.2700000014
Colombia-2022,147682.03,3640115.4299999997
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Comoros-2020,157.40718,26.290000000000003
Comoros-2021,198.54639,36.99000000000001
Comoros-2022,622.76263,7.569999999999998
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Congo-2020,11174.782,5779.830000000003
Congo-2021,13768.858,5809.410000000004
Congo-2022,1613.9437,5408.0499999999965
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Democratic Republic of the Congo-2020,15493.432,7561.809999999996
Democratic Republic of the Congo-2021,17353.97,4315.960000000001
Democratic Republic of the Congo-2022,13856.404,14008.11
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
Cook Islands-2022,1.9954569,70.94999999999997
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
Cook Islands-2022,1.9954569,70.94999999999997
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
Cook Islands-2022,1.9954569,70.94999999999997
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
Cook Islands-2022,1.9954569,70.94999999999997
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
Cook Islands-2022,1.9954569,70.94999999999997
Cook Islands-2020,509.64508,125.97000000000003
Cook Islands-2021,60.647892,165.93000000000006
